央视频道(联通),#genre#
CCTV-1综合,http://39.134.52.215/PLTV/88888888/224/3221226443/index.m3u8
CCTV-2财经,http://39.134.52.215/PLTV/88888888/224/3221226468/index.m3u8
CCTV-3综艺,http://39.134.52.215/PLTV/88888888/224/3221226800/index.m3u8
CCTV-4中文国际,http://39.134.52.215/PLTV/88888888/224/3221226636/index.m3u8
CCTV-5PLUS,http://39.134.52.215/PLTV/88888888/224/3221226445/index.m3u8
CCTV-5体育,http://39.134.52.215/PLTV/88888888/224/3221226802/index.m3u8
CCTV-6电影,http://39.134.52.215/PLTV/88888888/224/3221226753/index.m3u8
CCTV-7国防军事,http://39.134.52.215/PLTV/88888888/224/3221226640/index.m3u8
CCTV-8电视剧,http://39.134.52.215/PLTV/88888888/224/3221226804/index.m3u8
CCTV-9纪录,http://39.134.52.215/PLTV/88888888/224/3221226470/index.m3u8
CCTV-10科教,http://39.134.52.215/PLTV/88888888/224/3221226462/index.m3u8
CCTV-10科教,http://39.134.52.215/PLTV/88888888/224/3221226904/index.m3u8
CCTV-11戏曲,http://39.134.52.215/PLTV/88888888/224/3221226558/index.m3u8
CCTV-12社会与法,http://39.134.52.215/PLTV/88888888/224/3221226439/index.m3u8
CCTV-13新闻,http://39.134.52.215/PLTV/88888888/224/3221226481/index.m3u8
CCTV-14少儿,http://39.134.52.215/PLTV/88888888/224/3221226464/index.m3u8
CCTV-15音乐,http://39.134.52.215/PLTV/88888888/224/3221226498/index.m3u8
CCTV-16奥林匹克,http://39.134.52.215/PLTV/88888888/224/3221226834/index.m3u8
CCTV-17农业农村,http://39.134.52.214/PLTV/88888888/224/3221226594/index.m3u8
卫视频道(联通),#genre#
辽宁卫视高清,http://39.134.52.215/PLTV/88888888/224/3221226461/index.m3u8
辽宁北方,http://39.134.52.215/PLTV/88888888/224/3221226515/index.m3u8
辽宁都市,http://39.134.52.215/PLTV/88888888/224/3221226524/index.m3u8
辽宁公共,http://39.134.52.215/PLTV/88888888/224/3221226528/index.m3u8
辽宁教育青少,http://39.134.52.215/PLTV/88888888/224/3221226473/index.m3u8
辽宁经济,http://39.134.52.215/PLTV/88888888/224/3221226504/index.m3u8
辽宁生活,http://39.134.52.215/PLTV/88888888/224/3221226489/index.m3u8
辽宁体育,http://39.134.52.215/PLTV/88888888/224/3221226508/index.m3u8
辽宁移动电视,http://39.134.52.215/PLTV/88888888/224/3221226717/index.m3u8
辽宁影视剧,http://39.134.52.215/PLTV/88888888/224/3221226512/index.m3u8
沈阳新闻综合,http://39.134.52.215/PLTV/88888888/224/3221226593/index.m3u8
中国教育-1,http://39.134.52.215/PLTV/88888888/224/3221226518/index.m3u8
安多卫视,http://39.134.52.215/PLTV/88888888/224/3221226769/index.m3u8
安徽卫视高清,http://39.134.52.215/PLTV/88888888/224/3221226447/index.m3u8
北京卫视高清,http://39.134.52.215/PLTV/88888888/224/3221226449/index.m3u8
